[I 230512 12:46:27 main:247] Iteration 120 started
[I 230512 12:46:33 main:159] Humans detected: 0
[I 230512 12:46:33 main:247] Iteration 121 started
[I 230512 12:46:33 main:247] Iteration 122 started
[I 230512 12:46:33 main:247] Iteration 123 started
[I 230512 12:46:33 main:247] Iteration 124 started
[I 230512 12:46:33 main:247] Iteration 125 started
[I 230512 12:46:33 main:247] Iteration 126 started
[I 230512 12:46:33 main:247] Iteration 127 started
[I 230512 12:46:33 main:247] Iteration 128 started
[I 230512 12:46:33 main:247] Iteration 129 started
[I 230512 12:46:34 main:247] Iteration 130 started
[I 230512 12:46:34 main:247] Iteration 131 started
[I 230512 12:46:34 main:247] Iteration 132 started
[I 230512 12:46:34 main:247] Iteration 133 started
[I 230512 12:46:34 main:247] Iteration 134 started
[I 230512 12:46:34 main:247] Iteration 135 started
[I 230512 12:46:34 main:247] Iteration 136 started
[I 230512 12:46:34 main:247] Iteration 137 started
[I 230512 12:46:34 main:247] Iteration 138 started
[I 230512 12:46:35 main:247] Iteration 139 started
[I 230512 12:46:35 main:247] Iteration 140 started
[I 230512 12:46:35 main:247] Iteration 141 started
[I 230512 12:46:35 main:247] Iteration 142 started
[I 230512 12:46:35 main:247] Iteration 143 started
[I 230512 12:46:35 main:247] Iteration 144 started
[I 230512 12:46:35 main:247] Iteration 145 started
[I 230512 12:46:35 main:247] Iteration 146 started
[I 230512 12:46:36 main:247] Iteration 147 started
[I 230512 12:46:36 main:247] Iteration 148 started
[I 230512 12:46:36 main:247] Iteration 149 started
[I 230512 12:46:36 main:247] Iteration 150 started
[I 230512 12:46:36 main:247] Iteration 151 started
[I 230512 12:46:36 main:247] Iteration 152 started
[I 230512 12:46:36 main:247] Iteration 153 started
[I 230512 12:46:36 main:247] Iteration 154 started
[I 230512 12:46:37 main:247] Iteration 155 started
[I 230512 12:46:37 main:247] Iteration 156 started
[I 230512 12:46:37 main:247] Iteration 157 started
[I 230512 12:46:37 main:247] Iteration 158 started
[I 230512 12:46:37 main:247] Iteration 159 started
[I 230512 12:46:37 main:247] Iteration 160 started
[I 230512 12:46:37 main:247] Iteration 161 started
[I 230512 12:46:37 main:247] Iteration 162 started
[I 230512 12:46:38 main:247] Iteration 163 started
[I 230512 12:46:38 main:247] Iteration 164 started
[I 230512 12:46:38 main:247] Iteration 165 started
[I 230512 12:46:38 main:247] Iteration 166 started
[I 230512 12:46:38 main:247] Iteration 167 started
[I 230512 12:46:38 main:247] Iteration 168 started
[I 230512 12:46:38 main:247] Iteration 169 started
[I 230512 12:46:38 main:247] Iteration 170 started
[I 230512 12:46:39 main:247] Iteration 171 started
[I 230512 12:46:39 main:247] Iteration 172 started
[I 230512 12:46:39 main:247] Iteration 173 started
[I 230512 12:46:39 main:247] Iteration 174 started
[I 230512 12:46:39 main:247] Iteration 175 started
[I 230512 12:46:39 main:247] Iteration 176 started
[I 230512 12:46:39 main:247] Iteration 177 started
[I 230512 12:46:39 main:247] Iteration 178 started
[I 230512 12:46:40 main:247] Iteration 179 started
[I 230512 12:46:40 main:247] Iteration 180 started
[I 230512 12:46:45 main:159] Humans detected: 0
[I 230512 12:46:45 main:247] Iteration 181 started
[I 230512 12:46:46 main:247] Iteration 182 started
[I 230512 12:46:46 main:247] Iteration 183 started
[I 230512 12:46:46 main:247] Iteration 184 started
[I 230512 12:46:46 main:247] Iteration 185 started
[I 230512 12:46:46 main:247] Iteration 186 started
[I 230512 12:46:46 main:247] Iteration 187 started
[I 230512 12:46:46 main:247] Iteration 188 started
[I 230512 12:46:46 main:247] Iteration 189 started
[I 230512 12:46:46 main:247] Iteration 190 started
[I 230512 12:46:46 main:247] Iteration 191 started
[I 230512 12:46:46 main:247] Iteration 192 started
[I 230512 12:46:46 main:247] Iteration 193 started
[I 230512 12:46:47 main:247] Iteration 194 started
[I 230512 12:46:47 main:247] Iteration 195 started
[I 230512 12:46:47 main:247] Iteration 196 started
[I 230512 12:46:47 main:247] Iteration 197 started
[I 230512 12:46:47 main:247] Iteration 198 started
[I 230512 12:46:47 main:150] Motion detected
[I 230512 12:46:47 main:247] Iteration 199 started
[I 230512 12:46:47 main:150] Motion detected
[I 230512 12:46:47 main:247] Iteration 200 started
[I 230512 12:46:48 main:247] Iteration 201 started
[I 230512 12:46:48 main:247] Iteration 202 started
[I 230512 12:46:48 main:247] Iteration 203 started
[I 230512 12:46:48 main:247] Iteration 204 started
[I 230512 12:46:48 main:247] Iteration 205 started
[I 230512 12:46:48 main:247] Iteration 206 started
[I 230512 12:46:48 main:247] Iteration 207 started
[I 230512 12:46:48 main:247] Iteration 208 started
[I 230512 12:46:48 main:247] Iteration 209 started
[I 230512 12:46:49 main:247] Iteration 210 started
[I 230512 12:46:49 main:150] Motion detected
[I 230512 12:46:49 main:247] Iteration 211 started
[I 230512 12:46:49 main:150] Motion detected
[I 230512 12:46:49 main:247] Iteration 212 started
[I 230512 12:46:49 main:247] Iteration 213 started
[I 230512 12:46:49 main:247] Iteration 214 started
[I 230512 12:46:49 main:247] Iteration 215 started
[I 230512 12:46:49 main:247] Iteration 216 started
[I 230512 12:46:49 main:247] Iteration 217 started
[I 230512 12:46:50 main:247] Iteration 218 started
[I 230512 12:46:50 main:247] Iteration 219 started
[I 230512 12:46:50 main:247] Iteration 220 started
[I 230512 12:46:50 main:247] Iteration 221 started
[I 230512 12:46:50 main:247] Iteration 222 started
[I 230512 12:46:50 main:247] Iteration 223 started
[I 230512 12:46:50 main:247] Iteration 224 started
[I 230512 12:46:50 main:247] Iteration 225 started
[I 230512 12:46:51 main:247] Iteration 226 started
[I 230512 12:46:51 main:247] Iteration 227 started
[I 230512 12:46:51 main:247] Iteration 228 started
[I 230512 12:46:51 main:247] Iteration 229 started
[I 230512 12:46:51 main:150] Motion detected
[I 230512 12:46:51 main:247] Iteration 230 started
[I 230512 12:46:51 main:150] Motion detected
[I 230512 12:46:51 main:247] Iteration 231 started
[I 230512 12:46:51 main:247] Iteration 232 started
[I 230512 12:46:51 main:247] Iteration 233 started
[I 230512 12:46:52 main:247] Iteration 234 started
[I 230512 12:46:52 main:247] Iteration 235 started
[I 230512 12:46:52 main:247] Iteration 236 started
[I 230512 12:46:52 main:247] Iteration 237 started
[I 230512 12:46:52 main:247] Iteration 238 started
[I 230512 12:46:52 main:247] Iteration 239 started
[I 230512 12:46:52 main:247] Iteration 240 started
[I 230512 12:46:58 main:159] Humans detected: 0
[I 230512 12:46:58 main:247] Iteration 241 started
[I 230512 12:46:58 main:247] Iteration 242 started
[I 230512 12:46:58 main:247] Iteration 243 started
[I 230512 12:46:58 main:247] Iteration 244 started
